m1,mut3,cG,cuG_33,cqu1_1133,cuu_3333,cqq1_3333,cqd1_3311,cqu8_3311,cqu8_1133,cHBox,cHB,cHG,cuH_33,cHq1_33
0.50,2.60,3.46345e-06,-4.42505e-06,7.95698e-09,-2.34560e-06,-9.63287e-07,4.33496e-08,-2.28588e-05,-1.53291e-05,-1.36901e-04,1.08907e-05,3.60969e-05,-1.24737e-05,3.55547e-06
0.50,2.70,3.21165e-06,-4.11938e-06,7.48586e-09,-2.19141e-06,-8.93253e-07,4.01980e-08,-2.11969e-05,-1.42061e-05,-1.26948e-04,1.00989e-05,3.34725e-05,-1.15801e-05,3.31011e-06
0.60,0.30,2.60144e-04,-8.68409e-05,-2.83454e-06,-1.69873e-04,-7.23535e-05,3.25604e-06,-1.71695e-03,-1.42441e-03,-1.02828e-02,8.18014e-04,2.71128e-03,-4.91694e-04,6.61676e-05
0.60,0.40,1.46331e-04,-6.80907e-05,-1.16229e-06,-8.46052e-05,-4.06989e-05,1.83152e-06,-9.65783e-04,-7.66856e-04,-5.78407e-03,4.60133e-04,1.52509e-03,-3.33604e-04,5.29633e-05
0.60,0.50,9.36517e-05,-5.43603e-05,-5.41340e-07,-5.01576e-05,-2.60473e-05,1.17217e-06,-6.18101e-04,-4.74677e-04,-3.70181e-03,2.94485e-04,9.76059e-04,-2.40086e-04,4.27183e-05
0.60,0.60,6.50359e-05,-4.41492e-05,-2.71337e-07,-3.33952e-05,-1.80884e-05,8.14010e-07,-4.29237e-04,-3.21317e-04,-2.57070e-03,2.04503e-04,6.77819e-04,-1.80384e-04,3.49010e-05
0.60,0.70,4.77815e-05,-3.64182e-05,-1.41169e-07,-2.40981e-05,-1.32894e-05,5.98048e-07,-3.15358e-04,-2.31441e-04,-1.88868e-03,1.50247e-04,4.97990e-04,-1.40089e-04,2.88996e-05
0.60,0.80,3.65827e-05,-3.04607e-05,-7.37568e-08,-1.84124e-05,-1.01747e-05,4.57881e-07,-2.41446e-04,-1.74467e-04,-1.44602e-03,1.15033e-04,3.81273e-04,-1.11698e-04,2.42356e-05
0.60,0.90,2.89049e-05,-2.57937e-05,-3.70303e-08,-1.46640e-05,-8.03928e-06,3.61782e-07,-1.90772e-04,-1.36160e-04,-1.14253e-03,9.08904e-05,3.01253e-04,-9.09946e-05,2.05613e-05
0.60,1.00,2.34129e-05,-2.20821e-05,-1.63078e-08,-1.20436e-05,-6.51182e-06,2.93044e-07,-1.54525e-04,-1.09201e-04,-9.25451e-04,7.36212e-05,2.44015e-04,-7.54636e-05,1.76276e-05
0.60,1.10,1.93495e-05,-1.90897e-05,-4.35798e-09,-1.01250e-05,-5.38167e-06,2.42185e-07,-1.27707e-04,-8.95234e-05,-7.64836e-04,6.08440e-05,2.01665e-04,-6.35340e-05,1.52555e-05
